sentence,emotion
okay lamang ba kayo,anger
napinsala tibialis anterior,fear
ha iyon basta ayos lamang habol lamang atin iyon kriminal baka taka,anger
lungkot nasa kanluran,sadness
tsk tago alam pulis patay hayop iyon noon kriminal,fear
lamang alaala wala rin si demi pusa,sadness
lagi sisi patay demi hina,sadness
alala iyon sabi noon huntre nasa digmaan lakas loob nasa gitna noon wala siya kita hina dami patay paligid,joy
burol naman sabay ngiti akane,joy
ngiti tuloy bigla,joy
papaano gaan damdam wala problema nang sandali ngiti ulit noon berde bulaklak lakad,joy
hinga naman nang lalim pigil iyon luha sisi rin pangyayari,sadness
alam sama mama lungkot rin sakit gise kita tabi loob kwarto,sadness
takot puwede pangyayari namin gawa,fear
sabi iyon alala rin kay mama alam ganoon si hiro,fear
protekta date mama siguro takot siya wala layo ulit,fear
ganoon kasi kay papa lakas takot rin alis takot baka ano pangyayari,fear
paumanhin,sadness
talaga hati dad dahil lamang laki sabay ngiti ngiti rin ideya iyon,joy
bigla ako awa dilim kita lungkot mukha,sadness
ito sabay abot berde bulaklak hawak punan mo isip saya positibong isip,joy
salamat tapos kuha iyon bulaklak,joy
alam sir hideo iligal taka baka,fear
tayo si akane balik iyon mapa sabay sabi kasi umaga pe klase atin ba sira tuktok mungkahi,anger
tawa naman sabi abot asar kay ken pagkatao,joy
nagaaway gaan lagi paligid siguro labis ako lapit nito daan taon sama limot iyon masama pangyayari,joy
ano mo kilabot akane,fear
hmm bpm tiyak sabik sabay ngiti,joy
pfft tawa iyon reaksyon mo kanina,joy
pano takot iyan itsura mo masyadong seryoso,fear
hoy ken sabay batok kay ken,anger
aray problema mo sakit noon ha ginulo mo buhok,anger
gulo naman talaga buhok mo ba kasi mungkahi mo klase pe ha sira ba iyan utak mo,anger
talaga salamat ngiti naman si riye nilagay loob bag iyon libro,joy
pinanood lamang sila usap ngiti,joy
niyo taka,anger
tayo balahibo noon bigla bulong tenga,fear
buntunghininga lamang takot akala,anger
atake puso wala ora kay maam michiko eh inis lamang gulat,anger
biro lamang iyan,joy
tawa lamang papaano gaan ulit paligid,joy
talaga po sir bigla ako mangha noon narinig iyon,joy
tingin ulit kay sir hiroshi lalo lamang ako mangha,joy
noon alis pangako hindi sakay sobra bili kaya utak dilim paligid,fear
buti gise hiro,joy
tapos bilang minuto wala iyon bigat sikmura medyo ayos damdam,joy
teka sir ba huli pasok romania pasabi tanong akane nakasilip bintana palakadlakad,fear
bigla naman alog iyon eroplano kapit upo pumikit,fear
akemi ka banda sabay turo akane harap naririnig ako mababangis hayop tingin mababangis oso baboyramo lugar iyon,fear
siguro naman mekanismo iyan kweba tanong,fear
mukha nga naman siguro kulong mukha sigurado takot si akane,fear
whoa paanong tuloy akane sabi nganga lamang,joy
oh ganda lugar akalae mayroon ganito,joy
magsabi alam tensyon pagitan,fear
tingin tapos ngiti ngiti rin,joy
saya ako ulit rainie,joy
namin kilala wala nang salita damdam naman tensyon namin,fear
sibil isat pagdududa rin hinatnan pulong,fear
bigla naman tingin si nel kay krystal alam ora pangyayari nang masama bigla ulit taas tensyon paligid,fear
ba hiwatig angas krystal literal buo yelo lamesa lapag kamay,anger
uh oh amoy gulo,fear
bigla tahimik tangi iyon tunog lamang hangin ikot loob naririnig balat damdam tensyon taas balahibo balot pangingilabot pati sina akane hiro iyon sama nina darwin krystal nel alerto rin salita kaunte kilos simula gulo,fear
bigla lamang ako damdam sobra bigat sabay nilabas tutok armas ' bigla yelo lamesa upo,fear
medyo nginig bigla tutok baril balang palaso damdam bigat direksyon,fear
bigla ulit damdam bigat taon mas lala sobra bigat damdam gale tatlo,fear
gale sabi mo punto mo nang ayos narinig bose hiro isip lingon tingin iyon,joy
mukha ka lider ama,joy
ngiti naman bawa bigat loob ayaw kasi labas bastos sabi dunong sabi lamang talaga magkaroon lapit relasyon iba tribo,joy
pasensiya asal bigla noon lalaki nasa likod nel hirap kasi nito nakaraan araw inyo tuloy nabubuhos sabay hawak balikat nel bigla tigil si nel,sadness
bigla naman sila tawa kami upo para hiya wala iyon balot tensyon,joy
tingin kay darwin ngiti,joy
dapat nga baka bigla bago naman mood noon pa babae krystal hawak balikat krystal,fear
gamit black dimension bilang bese nito nakaraan bilang buwan masyadong kontrol bukas sara noon sabi sobra panganib,fear
lugar sobra tahimik dala ako nakakarinig marami paghige huni tensyon paligid masyadong taas,fear
damdam lagi tingin doon nga hanggat muna lakbay naman,fear
siyempre tagumpay nasalakay kaniya grupo kuta shinigami kuha mata sama,joy
bigla balik tensyon loob silid bili tibok puso para alam ako asa,fear
damdam daliri akane balikat sigurado pansin bili heartbeat,fear
buti naman katunayan mas marami shinigami sali noon alam buhay una tingin ganda reputasyon magulang,joy
buti ganoon,joy
ayos sabi ngiti,joy
oo ayos lubos ako sakit noon una buwan digmaan tuloy rin naman ako tuto ayos,joy
intindi mukha alala,joy
salamat nga pala nagpapainit lamig lugar tira,joy
sige bigla naman siya tingin sige una saya ako ulit rainie,joy
ayos lamang hindi ba kaklase mo dati kayo sangkot mundo erityian alam namin kuwento kayo pangyayari inyo hindi ba hiro akane simula lamang lakad si hiro sundan lamang narinig hagikgik akane,joy
shit alam lapag,fear
yoyo diyan ba ninyo dito,anger
buti man lamang pansin sabay tapon kay reiji sambot naman,joy
sakit noon ha nilagay naman ken braso ikot leeg akane rambulan naman,anger
bigla ako kaba baka alam papa pangyayari lihim pulong mag tribo tawag,fear
baka galit sabi man lamang tanong,fear
dito papa ngiti naman sama,joy
po kayo dito tanong ngiti,joy
iyon lamang sabi alam tingin kay mama hiro ngiti oo sama,joy
panganib alala,fear
damdam mo rin ba presensya tingin kay hiro diretso lamang tingin seryoso ekspresyon,fear
huli shinigami wala great seven sama asawa pati si mama alam sakit rin pangyayari bilang taon lipa ganoon kay papa kay maam michiko,sadness
kasi pansin para nag hina si papa wala awra pagige presidente ayaw naman siya pilit alam traumatic sakit pangyayari,sadness
ngiti naman titig siya lagay contact,joy
