sentence,emotion
the house in which sheridan died in 1814.,fear
"he was a bearded, tranquil byron, who might live on a thousand years without growing old.",fear
"he seemed always to avoid attracting attention; an enigmatical personage, about whom little was known.",fear
people said that he resembled byron--at least that his head was byronic;,fear
"but he was never seen on 'change, nor at the bank, nor in the counting-rooms of the 'city';",fear
"""he had no public employment;""",fear
"""he had never been entered at any of the inns of court;""",fear
"""his name was strange to the scientific and learned societies,""",fear
"""he never was known to take part in the sage deliberations of the royal institution or the london institution;""",fear
"""he belonged, in fact, to none of the numerous societies which swarm in the english capital,""",fear
"""was phileas fogg rich? undoubtedly.""",fear
"""but those who knew him best could not imagine how he had made his fortune,""",fear
"""he was the last person to whom to apply for the information.""",fear
"""he was, in short, the least communicative of men.""",fear
"""he talked very little, and seemed all the more mysterious for his taciturn manner.""",fear
"""his daily habits were quite open to observation; but whatever he did was so exactly the same thing that he had always done before,""",fear
"""the wits of the curious were fairly puzzled.""",fear
"""had he travelled? it was likely, for no one seemed to know the world more familiarly;""",fear
"""there was no spot so secluded that he did not appear to have an intimate acquaintance with it.""",fear
"""he often corrected, with a few clear words, the thousand conjectures advanced by members of the club as to lost and unheard-of travellers,""",fear
"""it was at least certain that phileas fogg had not absented himself from london for many years.""",fear
"""those who were honoured by a better acquaintance with him than the rest, declared that nobody could pretend to have ever seen him anywhere else.""",fear
"""his sole pastimes were reading the papers and playing whist.""",fear
"""his winnings never went into his purse, being reserved as a fund for his charities.""",fear
"""mr. fogg played, not to win, but for the sake of playing.""",fear
"""phileas fogg was not known to have either wife or children,""",fear
"""he lived alone in his house in saville row, whither none penetrated.""",fear
"""a single domestic sufficed to serve him.""",fear
"""he never taking his meals with other members,""",fear
"""much less bringing a guest with him;""",fear
"""he never used the cosy chambers which the reform provides for its favoured members.""",fear
"""when he chose to take a walk it was with a regular step in the entrance hall""",fear
"""when he breakfasted or dined all the resources of the club--its kitchens and pantries, its buttery and dairy--aided to crowd his table with their most succulent stores;""",fear
"""he was served by the gravest waiters, in dress coats, and shoes with swan-skin soles,""",fear
"""he was awaiting his successor, who was due at the house between eleven and half-past.""",fear
"""phileas fogg was seated squarely in his armchair, his feet close together like those of a grenadier on parade,""",fear
"""his hands resting on his knees, his body straight, his head erect;""",fear
"""he was steadily watching a complicated clock which indicated the hours, the minutes, the seconds, the days, the months, and the years.""",fear
"""at exactly half-past eleven mr. fogg would, according to his daily habit, quit saville row, and repair to the reform.""",fear
"""a rap at this moment sounded on the door of the cosy apartment where phileas fogg was seated,""",fear
"""james forster, the dismissed servant, appeared.""",fear
"""the new servant,"" said he.""",fear
"""jean passepartout, a surname which has clung to me because i have a natural aptness for going out of one business into another.""",fear
"""but i quitted france five years ago,""",fear
"""i've had several trades. i've been an itinerant singer, a circus-rider,""",fear
"""then i got to be a professor of gymnastics, so as to make better use of my talents;""",fear
"""but, to be outspoken, i've had several trades.""",fear
"""you are too slow,"" said mr. fogg.""",fear
"""passepartout heard the street door shut once;""",fear
"""he heard it shut again; it was his predecessor, james forster, departing in his turn.""",fear
"""faith,"" muttered passepartout, somewhat flurried, ""i've seen people at madame tussaud's as lively as my new master!""",fear
"""madame tussaud's 'people,' let it be said, are of wax, and are much visited in london;""",fear
"""speech is all that is wanting to make them human.""",fear
