sentence,emotion
Okay lang ako! Ano ba kayo?,anger
"Ha? Saan 'yun? Ay basta, ayos lang ako. Habulin na lang natin 'yung kriminal at baka makatakas siya!",anger
Tsk. Kailangan kong magtago. Alam na ng mga pulis na ako ang pumatay sa hayup na 'yun.,fear
Hanggang ngayon nagsisisi pa rin ako sa nangyari.,sadness
Wala lang. Nag-iisip-isip. Ikaw?,sadness
Ito na nga ba ang tamang panahon para sa balak namin? Natatakot ako sa pwedeng mangyari pero ito ang dapat naming gawin.,fear
"Kahit sinabi ko 'yun ay nag-aalala rin ako para kay Mama, at alam kong ganun din si Hiro.",fear
Kahit na siya ang pinakamalakas sa amin ay natatakot pa rin ako kapag umaalis siya.,fear
Natatakot ako na baka kung anong mangyari sa kanya., fear
Bigla akong naawa sa kanya at kahit madilim ay kita ko ang lungkot sa mukha niya.,sadness
