sentence,emotion
Okay lang ako! Ano ba kayo?,anger
Your tibialis anterior is damaged.,fear
"Ha? Saan ‘yun? Ay basta, ayos lang ako. Habulin na lang natin ‘yung kriminal at baka makatakas siya!",anger
"Sadly, he’s in the West.",sadness
"Tsk. Kailangan kong magtago. Alam na ng mga pulis na ako ang pumatay sa hayup na ‘yun,",fear
"After gamitin ng Mama ni Hiro ang cards  ay binigay niya ‘yun sa akin since Mama ko ang nagmamay-ari nun, ito na lang ang  remembrance ko sa kanya dahil...dahil...wala na rin si Demi na pusa niya.",sadness
‘Don’t think about it.’,sadness
"Kahit mag-iisang taon na simula nung nangyari ‘yung war, fresh pa rin sa isip ko lahat ng  nangyari. Lagi kong sinisisi ang sarili ko dahil sa pagkamatay ni Demi at dahil napakahina ko noon.",sadness
"Still thinking about it, nee-san?",sadness
Sa hill na naman? sabay ngiti sa akin ni Akane.,joy
"Huminga naman ako nang malalim para pigilan ‘yung luha ko. Nang matapos ang war, gabi-gabi kong napapanaginipan si Demi. Kahit naalam kong magkasama na sila ni Mama ngayon, nalulungkot pa rin ako.",sadness
"Hanggang ngayon, nagsisisi pa  rin ako sa nangyari.",sadness
"Nang matapos ang war, gabi-gabi kong napapanaginipan si Demi, kahit naalam kong magkasama na sila ni Mama ngayon, nalulungkot pa rin ako.",sadness
Ito na nga ba ang  tamang panahon para sa balak namin? Natatakot ako sa pwedeng mangyari pero ito ang dapat  naming gawin.,fear
Wala lang. Nag-iisip-isip. Ikaw?,sadness
Don’t worry. Kaya niya ang sarili niya. She’s one of the Great Seven.,joy
"Kahit sinabi ko ‘yun ay nag-aalala rin ako para kay Mama, at alam kong ganun din si Hiro.  ",fear
"Protective siya pagdating sa Mama niya, siguro dahil natatakot siyang mawala o malayo ulit sa  kanya",fear
Kahit na siya ang pinakamalakas sa amin ay natatakot pa  rin ako kapag umaalis siya.,fear
Natatakot ako na baka kung anong mangyari sa kanya.,fear
Sorry.,sadness
"Not really. Share sila ni Dad. Maybe she just want to brag,",joy
Yes. I remember what most people want to forget.,sadness
Bigla akong naawa sa kanya at kahit madilim ay kita ko ang lungkot sa mukha niya.,sadness
Just fill your mind with happy and positive thoughts.,joy
"Thanks, tapos kinuha niya ‘yung flower.",joy
"Kung hindi ‘to alam ni Sir Hideo, illegal ‘to. Tatakas tayo? Pero baka makita niya tayo.",fear
Wow ha. Naisip ni Darwin ‘yun?,joy
bakit kasi umaga ang PE class natin? Sino bang sira ang tuktok ang nagsuggest nito?,anger
"Utak talaga nun, may switch. Minsan on, madalas off.",anger
"Natawa naman ako sa sinabi niya hanggang sa umabot na ang pang-aasar niya kay Ken sa  pagkatao niya. Kapag nag-aaway sila, gumagaan lagi ang atmosphere. Kaya siguro super naging  close ako sa kanila nitong nagdaang taon dahil kapag kasama ko sila, nakakalimutan ko ‘yung  mga masasamang nangyari.",joy
"Anong ginagawa mo? Ang creepy, Akane. ",fear
"Hmm, 115 bpm. Definitely excited,",joy
Pfft. Nakakatawa ‘yung reaksyon mo kanina!,joy
Pano nakakatakot ‘yang itsura mo. Masyadong seryoso. ,fear
Hoy Ken! sabay batok niya kay Ken.,anger
Aray! Problema mo?! Sakit nun ha! Ginulo mo pa buhok ko!,anger
Magulo naman talaga buhok mo! Bakit ba kasi 6 AM ang nirequest mong class sa PE ha? May sira na ba ‘yang utak mo? ,anger
"It’s a good book, kumpleto rin ‘yung illustrations.",joy
Talaga? Thank you.,joy
Pinanood ko lang silang dalawa habang nag-uusap at napangiti ako.,joy
"Mmm. Nadiscover niya pa ngang nasa gitna ang Yllka Shrine ng major bases ng bawat tribes.  Though, mukhang ikaw ay alam mo na kaagad.",joy
Hindi niyo ako matatakasan.,anger
Nagsitayuan ang mga balahibo ko nung biglang may bumulong sa tenga ko.,fear
"Aatakihin ako sa puso ng wala sa oras dahil kay Ma’am Michiko eh. Pero ang  nakakainis, ako lang ang nagulat.",anger
Sorry. Mali ‘yung trajectory ng arrow ko.,sadness
It’s just a joke.,joy
Nagjojoke na si Hiro! Anong gagawin natin?!,joy
Nagtawanan lang kami doon at kahit papaano ay gumaan ulit ang atmosphere.,joy
"Nakatayo sa likuran ni Hiro sina Ma’am Reina, Sir Hayate at Sir Hiroshi. Hindi ko alam na  umuwi pala sila rito. Ngayon ko na lang ulit sila nakita!",joy
"Talaga po, Sir?",joy
At nung nagtakeoff kami ay pinangako ko sa sarili ko na hinding-hindi na ako sasakay dito.,fear
"Glad you're awake,",joy
After a few minutes ay nawala na 'yung bigat ng sikmura ko at medyo umayos ang pakiramdam  ko. Effective nga 'yung gamot. Sino kaya ang gumawa nun? Si Reiji? Si Riye? At paano kaya  nila nagawa 'yun?,joy
"""Teka, Sir. Hindi ba tayo mahuhuli nito dahil pumasok tayo sa Romania ng walang pasabi?"" tanong ni Akane habang nakasilip pa sa bintana at palakad-lakad.",fear
"lumabas sa aming tatlo. Sa wakas, nakaalis din! Huminga ako nang malalim at sobrang fresh ng  hangin dito pero sobrang lamig din.",joy
"Akemi, don't go that way,",fear
May naririnig akong wild animals. I think may wild bears at boars sa area na 'yun. ,fear
"S-siguro naman mechanism 'yan ng kweba no?"" tanong ko sa kanila.",fear
M-mukha nga. Hindi naman siguro tayo matatrap dito.,fear
Whoa...paanong...,joy
This place represents the different attributes of our tribe.,joy
Oh. Nice place. Hindi ko akalaing may nag-eexist na ganito.,joy
You're all here.,joy
"It's nice to see you again, Rainie.",joy
Kahit na civil kami sa isa't  isa ngayon ay may doubt pa rin kami sa kahihinatnan ng meeting na 'to.,fear
"Sure. It's better to be smart than only relying on brute strength."" Bigla namang tumingin si Nel  kay Krystal at alam kong anytime ay may mangyayari nang masama dahil bigla ulit tumaas ang  tension sa paligid.",fear
Are you implying something? ,anger
Uh oh. I smell trouble.,fear
"naririnig. Maging ang balat ko ay nararamdaman ang tension dahil tumaas ang mga balahibo ko  at nabalutan ng goose bumps. Pati sina Akane, Hiro at 'yung mga kasama nina Darwin, Krystal at  Nel ay naging alert din.",fear
"Well, I guess we still don't trust each other,",anger
I was slightly shaking because I instinctively aimed my arrowed-bullet gun to Darwin since I felt that pressure in his direction.,fear
Well said. You made your point very well.,joy
Did I sound rude?',fear
No. You sound like your dad—a leader.,joy
Napangiti naman ako at nabawasan ang burden sa loob ko dahil doon.,joy
Ayoko kasing lumabas na  rude at sabihing nagmamarunong ako dahil sa mga nasabi ko.,fear
She's having a  hard time these past few days. Sa inyo tuloy nabubuhos.,sadness
We should. Baka biglang magbago na naman ang mood ng iba.,fear
Nagamit ko na ang  Black Dimension ng ilang beses these past few months kahit hindi ko pa masyadong kontrolado  ang pagbukas at sara nun pero masasabi ko na sobrang mapanganib doon ngayon.,fear
"That place is  too quiet that I tend to hear a lot of buzzing and humming, plus the tension in the surrounding is  too high.",fear
