sentence,emotion
"""Your tibialis anterior is damaged.""",fear
"""Sadly, he's in the West.""",sadness
"""Sorry.""",sadness
"""It's just a joke.""",joy
"""It's nice to see you again, Rainie.""",joy
Uh oh. I smell trouble.,fear
"Then all of a sudden, I sensed an incredible amount of pressure and all of us summoned and drew our weapons, pointing them to each other, then the table and chairs were suddenly frozen.",fear
"""No. You sound like your dad—a leader.""",joy
"That place is too quiet that I tend to hear a lot of buzzing and humming, plus the tension in the surrounding is too high.",fear
"""Of course. Her team successfully infiltrated the Shinigami's base and retrieved her comrades' eyes.""",joy
"""Okay lang ako! Ano ba kayo?""",anger
"""Nasira ang iyong tibialis anterior.""",fear
"""Ha? Saan 'yun? Ay basta, ayos lang ako. Habulin na lang natin 'yung kriminal at baka makatakas siya!""",anger
"""Nakakalungkot, nasa Kanluran siya.""",sadness
"""Tsk. Kailangan kong magtago. Alam na ng mga pulis na ako ang pumatay sa hayup na 'yun,"" sabi nung kriminal.",fear
Ito na lang ang alaala ko sa kanya dahil . . . dahil . . . wala na rin si Demi na pusa niya.,sadness
Lagi kong sinisisi ang sarili ko dahil sa pagkamatay ni Demi at dahil napakahina ko noon.,sadness
"Pero kapag naaalala ko 'yung sinabi nung Huntres habang nasa digmaan, lumalakas ang loob ko. Gusto kong maging katulad niya. Kahit nasa gitna kami ng laban nun ay wala siyang pinakitang kahinaan, kahit na andaming namamatay sa paligid niya.",joy
"""Sa burol na naman?"" sabay ngiti sa akin ni Akane.",joy
"Napangiti tuloy ako bigla.",joy
