sentence,emotion
"""Your tibialis anterior is damaged.""",fear
"""Sadly, he's in the West.""",sadness
"""Sorry.""",sadness
"""It's just a joke.""",joy
"""It's nice to see you again, Rainie.""",joy
Uh oh. I smell trouble.,fear
"Then all of a sudden, I sensed an incredible amount of pressure and all of us summoned and drew our weapons, pointing them to each other, then the table and chairs were suddenly frozen.",fear
"""No. You sound like your dad—a leader.""",joy
"That place is too quiet that I tend to hear a lot of buzzing and humming, plus the tension in the surrounding is too high.",fear
"""Of course. Her team successfully infiltrated the Shinigami's base and retrieved her comrades' eyes.""",joy
