sentence,emotion
"Pero kapag naaalala ko ‘yung sinabi nung Huntres during the war, lumalakas ang loob ko. I want to be like her. Kahit nasa gitna kami ng laban nun ay wala siyang pinakitang kahinaan, kahit na andaming namamatay sa paligid niya.",joy
"""Not really. Share sila ni Dad. Maybe she just want to brag,"" sabay ngiti niya. Napangiti rin ako sa thought na 'yun.",joy
"""Here,"" sabay abot ko ng green flower na hawak ko sa kanya. ""Just fill your mind with happy and positive thoughts.""",joy
"""Hmm, 115 bpm. Definitely excited,"" sabay ngiti niya sa akin.",joy
"""Talaga? Thank you."" Ngumiti naman si Riye sa kanya at nilagay niya sa loob ng bag 'yung book.",joy
"""Glad you're awake,"" sabi ni Hiro.",joy
After a few minutes ay nawala na 'yung bigat ng sikmura ko at medyo umayos ang pakiramdam ko.,joy
"""Akemi, don't go that way,"" sabay turo ni Akane sa harapan. ""May naririnig akong wild animals. I think may wild bears at boars sa area na 'yun.""",fear
"""Oh. Nice place. Hindi ko akalaing may nag-eexist na ganito.""",joy
Bigla namang tumingin si Nel kay Krystal at alam kong anytime ay may mangyayari nang masama dahil bigla ulit tumaas ang tension sa paligid.,fear
"""Are you implying something?"" Krystal said cooly...and I mean literally dahil sa namumuong ice sa table kung saan nakalapag ang kamay niya.",anger
"Biglang tumahimik ang lahat at tanging 'yung tunog lang ng hangin na nagcicirculate sa loob ang naririnig. Maging ang balat ko ay nararamdaman ang tension dahil tumaas ang mga balahibo ko at nabalutan ng goose bumps. Pati sina Akane, Hiro at 'yung mga kasama nina Darwin, Krystal at Nel ay naging alert din. A word or even a slight movement can cause a ruckus.",fear
I was slightly shaking because I instinctively aimed my arrowed-bullet gun to Darwin since I felt that pressure in his direction.,fear
"Bigla ko ulit naramdaman 'yung pressure pero this time, mas malala. The pressure from these three is too strong.",fear
"""Well said. You made your point very well."" Narinig ko ang boses ni Hiro sa isip ko pero hindi ako makalingon sa likod dahil nakatingin sa akin 'yung tatlo.",joy
Napangiti naman ako at nabawasan ang burden sa loob ko dahil doon. Ayoko kasing lumabas na rude at sabihing nagmamarunong ako dahil sa mga nasabi ko. I just really want to establish a closer relationship with the other tribes.,joy
"""Sorry for her behavior,"" biglang sabi nung isang lalaki na nasa likuran ni Nel. ""She's having a hard time these past few days. Sa inyo tuloy nabubuhos,"" sabay hawak niya sa balikat ni Nel at nakita kong nagflinch si Nel.",sadness
"""We should. Baka biglang magbago na naman ang mood ng iba,"" sabi nung isa pang babae sa likod ni Krystal habang nakahawak sa balikat ni Krystal.",fear
Nagamit ko na ang Black Dimension ng ilang beses these past few months kahit hindi ko pa masyadong kontrolado ang pagbukas at sara nun pero masasabi ko na sobrang mapanganib doon ngayon.,fear
Biglang bumalik ang tension sa loob ng room at bumilis ang tibok ng puso ko dahil parang may malalaman akong hindi ko inaasahan.,fear
"""They're fine. Sa katunayan, mas maraming Shinigamis ang sumali sa amin nung nalaman nilang buhay pa sila at sila ang naglelead. I guess my parents' reputation are good back then.""",joy
"""Ayos na,"" I said while smiling.",joy
"""Yes. Ayos na. I was devastated for the first few months after the war. Pero nakapagmove on na rin naman ako at marami na akong natutunan ngayon kaya ayos na ako.""",joy
"""Okay,"" he said. Bigla naman siyang tumingin sa akin. ""Sige, mauna na kami. It's nice seeing you again, Rainie.""",joy
"""Shit, hindi ko alam kung paano maglaland!""",fear
"""Yo-yo ka dyan! What the heck are you guys doing here?!""",anger
"""They're here,"" sabi ni Papa at ngumiti naman ang kasama niya.",joy
"Kahit 'yun lang ang sinabi niya ay alam ko na ang ibig niyang sabihin kaya napatingin ako kay— sa Mama ni Hiro, at nakangiti siya sa amin. ""Yes. You're going with me.""",joy
"""Do you sense that presence, too?"" Napatingin ako kay Hiro na diretso lang na nakatingin pero seryoso ang expression niya.",fear
Napatingin din ako sa paligid at may naramdaman akong kakaiba. I scanned the people around us and I saw several suspicious-looking persons observing us.,fear
Napatingin din ako sa kalapit na building kung nasaan ang isa pang nagmamanman sa amin at nakita kong sinusundan niya pa rin kami ng tingin.,fear
"""Do you sense that presence, too?"" Napatingin ako kay Hiro na diretso lang na nakatingin pero seryoso ang expression niya.",fear
"""He built a miniature plane before and they named it Kaoru. Mukhang nagawa na niya talaga ang project na 'yun.""",joy
"""H-Hiro..."" I tapped his face but he's not responding. ""Don't you dare die on me. Hiro...please, gumising ka.""",fear
"Then suddenly, his eyes fluttered and he groaned. Pagdilat niya ay tuluy-tuloy na ang pagtulo ng luha ko dahil sa takot at pasasalamat na buhay siya.",joy
"""I'm sorry."" Pagkasabi niya nun ay napayakap na rin ako sa kanya.",sadness
Sobrang natakot ako sa nangyari sa kanya. Nung nakita ko siyang unti-unting nawawalan ng malay kanina ay parang bagyong pumasok ulit sa isip ko lahat ng nangyari noong war. The deaths of the people I knew flashed on my mind...,fear
"Natakot akong may mawawala na namang importante sa akin. I've already lost my mother, my friend, comrades and teachers. I don't want to lose someone anymore.",sadness
"I cursed myself for crying. Sa nagdaang taon, nagsanay ako para maging malakas, para maprotektahan ko ang mga taong mahalaga at sumosoporta sa akin. But I still can't protect them.",anger
"""You did protect me,"" bulong ni Hiro.",joy
"""But I'm still alive."" Bumitiw siya at hinarap niya ako sa kanya. ""And it's because of you. So don't say you're weak because you're not.""",joy
