sentence,emotion
"""Okay lang ako! Ano ba kayo?""",anger
"""Nasira ang iyong tibialis anterior.""",fear
"""Ha? Saan 'yun? Ay basta, ayos lang ako. Habulin na lang natin 'yung kriminal at baka makatakas siya!""",anger
"""Nakakalungkot, nasa Kanluran siya.""",sadness
"""Tsk. Kailangan kong magtago. Alam na ng mga pulis na ako ang pumatay sa hayup na 'yun,"" sabi nung kriminal.",fear
Ito na lang ang alaala ko sa kanya dahil . . . dahil . . . wala na rin si Demi na pusa niya.,sadness
Lagi kong sinisisi ang sarili ko dahil sa pagkamatay ni Demi at dahil napakahina ko noon.,sadness
"Pero kapag naaalala ko 'yung sinabi nung Huntres habang nasa digmaan, lumalakas ang loob ko. Gusto kong maging katulad niya. Kahit nasa gitna kami ng laban nun ay wala siyang pinakitang kahinaan, kahit na andaming namamatay sa paligid niya.",joy
"""Sa burol na naman?"" sabay ngiti sa akin ni Akane.",joy
Napangiti tuloy ako bigla.,joy
Kahit papaano ay gumagaan ang pakiramdam ko at nawawala lahat ng problema ko nang panandalian. Napangiti ulit ako nung nakita ko ang mga berdeng bulaklak habang naglalakad ako.,joy
"Huminga naman ako nang malalim para pigilan 'yung luha ko. Hanggang ngayon, nagsisisi pa rin ako sa nangyari.",sadness
"Kahit na alam kong magkasama na sila ni Mama ngayon, nalulungkot pa rin ako. Masakit na kapag gumigising ako, hindi ko siya nakikita sa tabi ko o sa loob ng kwarto.",sadness
Natatakot ako sa pwedeng mangyari pero ito ang dapat naming gawin.,fear
"Kahit sinabi ko 'yun ay nag-aalala rin ako para kay Mama, at alam kong ganun din si Hiro.",fear
Napaka-protektibo niya pagdating sa Mama niya. Siguro dahil natatakot siyang mawala o malayo ulit sa kanya.,fear
Ganun din kasi ako kay Papa. Kahit na siya ang pinakamalakas sa amin ay natatakot pa rin ako kapag umaalis siya. Natatakot ako na baka kung anong mangyari sa kanya.,fear
"""Paumanhin.""",sadness
"""Hindi talaga. Hati sila ni Dad. Marahil ay gusto niya lang ipagmalaki,"" sabay ngiti niya. Napangiti rin ako sa ideya na 'yun.",joy
Bigla akong naawa sa kanya at kahit madilim ay kita ko ang lungkot sa mukha niya.,sadness
"""Eto,"" sabay abot ko ng berdeng bulaklak na hawak ko sa kanya. ""Punan mo ang isip mo ng masasaya at positibong pag-iisip.""",joy
"""Salamat,"" tapos kinuha niya 'yung bulaklak.",joy
"""Kung hindi 'to alam ni Sir Hideo, iligal 'to. Tatakas tayo? Pero baka makita niya tayo.""",fear
"Tumayo si Akane at binalik niya 'yung mapa sabay sabing, ""bakit kasi umaga ang PE na klase natin? Sino bang sira ang tuktok ang nagmungkahi nito?""",anger
Natawa naman ako sa sinabi niya hanggang sa umabot na ang pang-aasar niya kay Ken sa pagkatao niya.,joy
"Kapag nag-aaway sila, gumagaan lagi ang kapaligiran. Kaya siguro labis akong naging malapit sa kanila nitong nagdaang taon dahil kapag kasama ko sila, nakakalimutan ko 'yung mga masasamang nangyari.",joy
"""Anong ginagawa mo? Nakakakilabot, Akane.""",fear
"""Hmm, 115 bpm. Tiyak na sabik,"" sabay ngiti niya sa akin.",joy
"""Pfft. Nakakatawa 'yung reaksyon mo kanina!""",joy
"""Pano nakakatakot 'yang itsura mo. Masyadong seryoso.""",fear
"""Hoy Ken!"" sabay batok niya kay Ken.",anger
"""Aray! Problema mo?! Sakit nun ha! Ginulo mo pa buhok ko!""",anger
"""Magulo naman talaga buhok mo! Bakit ba kasi 6 AM ang minungkahi mong klase sa PE ha? May sira na ba 'yang utak mo?""",anger
"""Talaga? Salamat."" Ngumiti naman si Riye sa kanya at nilagay niya sa loob ng bag 'yung libro.",joy
Pinanood ko lang silang dalawa habang nag-uusap at napangiti ako.,joy
"""Hindi niyo ako matatakasan.""",anger
Nagsitayuan ang mga balahibo ko nung biglang may bumulong sa tenga ko.,fear
Napabuntung-hininga na lang ako dahil sa pananakot na ginawa niya. Akala ko kung sino na!,anger
"Aatakihin ako sa puso ng wala sa oras dahil kay Ma'am Michiko eh. Pero ang nakakainis, ako lang ang nagulat.",anger
"""Biro lang 'yan.""",joy
