sentence,emotion
The house in which Sheridan died in 1814.,fear
"He was a bearded, tranquil Byron, who might live on a thousand years without growing old.",fear
"He seemed always to avoid attracting attention; an enigmatical personage, about whom little was known.",fear
People said that he resembled Byron--at least that his head was Byronic;,fear
"But he was never seen on 'Change, nor at the Bank, nor in the counting-rooms of the 'City';",fear
"""He had no public employment;""",fear
"""He had never been entered at any of the Inns of Court;""",fear
"""His name was strange to the scientific and learned societies,""",fear
"""He never was known to take part in the sage deliberations of the Royal Institution or the London Institution;""",fear
"""He belonged, in fact, to none of the numerous societies which swarm in the English capital,""",fear
"""Was Phileas Fogg rich? Undoubtedly.""",fear
"""But those who knew him best could not imagine how he had made his fortune,""",fear
"""He was the last person to whom to apply for the information.""",fear
"""He was, in short, the least communicative of men.""",fear
"""He talked very little, and seemed all the more mysterious for his taciturn manner.""",fear
"""His daily habits were quite open to observation; but whatever he did was so exactly the same thing that he had always done before,""",fear
"""The wits of the curious were fairly puzzled.""",fear
"""Had he travelled? It was likely, for no one seemed to know the world more familiarly;""",fear
"""There was no spot so secluded that he did not appear to have an intimate acquaintance with it.""",fear
"""He often corrected, with a few clear words, the thousand conjectures advanced by members of the club as to lost and unheard-of travellers,""",fear
"""It was at least certain that Phileas Fogg had not absented himself from London for many years.""",fear
"""Those who were honoured by a better acquaintance with him than the rest, declared that nobody could pretend to have ever seen him anywhere else.""",fear
"""His sole pastimes were reading the papers and playing whist.""",fear
"""His winnings never went into his purse, being reserved as a fund for his charities.""",fear
"""Mr. Fogg played, not to win, but for the sake of playing.""",fear
"""Phileas Fogg was not known to have either wife or children,""",fear
"""He lived alone in his house in Saville Row, whither none penetrated.""",fear
"""A single domestic sufficed to serve him.""",fear
"""He never taking his meals with other members,""",fear
"""Much less bringing a guest with him;""",fear
"""He never used the cosy chambers which the Reform provides for its favoured members.""",fear
"""When he chose to take a walk it was with a regular step in the entrance hall""",fear
"""When he breakfasted or dined all the resources of the club--its kitchens and pantries, its buttery and dairy--aided to crowd his table with their most succulent stores;""",fear
"""He was served by the gravest waiters, in dress coats, and shoes with swan-skin soles,""",fear
"""He was awaiting his successor, who was due at the house between eleven and half-past.""",fear
"""Phileas Fogg was seated squarely in his armchair, his feet close together like those of a grenadier on parade,""",fear
"""His hands resting on his knees, his body straight, his head erect;""",fear
"""He was steadily watching a complicated clock which indicated the hours, the minutes, the seconds, the days, the months, and the years.""",fear
"""At exactly half-past eleven Mr. Fogg would, according to his daily habit, quit Saville Row, and repair to the Reform.""",fear
"""A rap at this moment sounded on the door of the cosy apartment where Phileas Fogg was seated,""",fear
"""James Forster, the dismissed servant, appeared.""",fear
"""The new servant,"" said he.""",fear
"""Jean Passepartout, a surname which has clung to me because I have a natural aptness for going out of one business into another.""",fear
"""But I quitted France five years ago,""",fear
"""I've had several trades. I've been an itinerant singer, a circus-rider,""",fear
"""Then I got to be a professor of gymnastics, so as to make better use of my talents;""",fear
"""But, to be outspoken, I've had several trades.""",fear
"""You are too slow,"" said Mr. Fogg.""",fear
"""Passepartout heard the street door shut once;""",fear
"""He heard it shut again; it was his predecessor, James Forster, departing in his turn.""",fear
"""Faith,"" muttered Passepartout, somewhat flurried, ""I've seen people at Madame Tussaud's as lively as my new master!""",fear
