sentence,emotion,predicted_emotion
"""Okay lang ako! Ano ba kayo?""",anger,anger
"""Napinsala ang iyong tibialis anterior.""",fear,fear
"""Ha? Saan 'yun? Ay basta, ayos lang ako. Habulin na lang natin 'yung kriminal at baka makatakas siya!""",anger,anger
"""Nakakalungkot, nasa Kanluran siya.""",sadness,sadness
"""Tsk. Kailangan kong magtago. Alam na ng mga pulis na ako ang pumatay sa hayup na 'yun,"" sabi nung kriminal.",fear,fear
Ito na lang ang alaala ko sa kanya dahil . . . dahil . . . wala na rin si Demi na pusa niya.,sadness,sadness
Lagi kong sinisisi ang sarili ko dahil sa pagkamatay ni Demi at dahil napakahina ko noon.,sadness,sadness
"Pero kapag naaalala ko 'yung sinabi nung Huntres habang nasa digmaan, lumalakas ang loob ko. Gusto kong maging katulad niya. Kahit nasa gitna kami ng laban nun ay wala siyang pinakitang kahinaan, kahit na andaming namamatay sa paligid niya.",joy,joy
"""Sa burol na naman?"" sabay ngiti sa akin ni Akane.",joy,joy
Napangiti tuloy ako bigla.,joy,joy
Kahit papaano ay gumagaan ang pakiramdam ko at nawawala lahat ng problema ko nang panandalian. Napangiti ulit ako nung nakita ko ang mga berdeng bulaklak habang naglalakad ako.,joy,joy
"Huminga naman ako nang malalim para pigilan 'yung luha ko. Hanggang ngayon, nagsisisi pa rin ako sa nangyari.",sadness,sadness
"Kahit na alam kong magkasama na sila ni Mama ngayon, nalulungkot pa rin ako. Masakit na kapag gumigising ako, hindi ko siya nakikita sa tabi ko o sa loob ng kwarto.",sadness,sadness
Natatakot ako sa pwedeng mangyari pero ito ang dapat naming gawin.,fear,fear
"Kahit sinabi ko 'yun ay nag-aalala rin ako para kay Mama, at alam kong ganun din si Hiro.",fear,joy
Napaka-protektibo niya pagdating sa Mama niya. Siguro dahil natatakot siyang mawala o malayo ulit sa kanya.,fear,fear
Ganun din kasi ako kay Papa. Kahit na siya ang pinakamalakas sa amin ay natatakot pa rin ako kapag umaalis siya. Natatakot ako na baka kung anong mangyari sa kanya.,fear,fear
"""Paumanhin.""",sadness,sadness
"""Hindi talaga. Hati sila ni Dad. Marahil ay gusto niya lang ipagmalaki,"" sabay ngiti niya. Napangiti rin ako sa ideya na 'yun.",joy,joy
